input_output,concurrency,best_config,serve_flags,output_tok_s,output_tok_s_per_user,total_tok_s,mean_tpot_ms,mean_ttft_ms,speedup_vs_tp1
200_300,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,16.5,16.54,27.6,60.0,189.0,1.72
200_300,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,259.3,12.96,432.1,74.1,984.0,1.64
200_300,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,536.6,10.73,894.4,89.2,1212.0,1.69
200_300,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,748.9,7.49,1248.1,127.2,1909.0,1.59
512_512,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,16.3,16.26,32.5,60.0,808.0,1.67
512_512,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,246.7,12.33,493.3,78.6,1323.0,1.65
512_512,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,467.4,9.35,934.9,102.4,2290.0,1.64
512_512,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,642.2,6.42,1284.3,148.3,3575.0,1.6
1024_1024,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,16.6,16.59,33.2,60.1,234.0,1.71
1024_1024,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,231.3,11.57,462.6,84.8,1665.0,1.66
1024_1024,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,423.3,8.47,846.6,114.9,3056.0,1.72
1024_1024,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,551.2,5.51,1102.4,177.9,3235.0,1.68
4096_1024,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,16.0,16.05,80.2,61.6,779.0,1.71
4096_1024,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,163.3,8.16,816.3,114.5,7662.0,1.74
4096_1024,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,243.5,4.87,1217.3,187.9,15961.0,1.75
4096_1024,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,301.1,3.01,1505.5,316.8,12354.0,1.82
8192_2048,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,15.5,15.54,77.7,63.8,1237.0,1.72
8192_2048,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,126.9,6.35,634.5,151.3,12214.0,1.8
8192_2048,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,166.6,3.33,832.9,285.6,26507.0,1.78
8192_2048,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,173.8,1.74,869.2,485.4,20131.0,1.96
