input_output,concurrency,config,serve_flags,target_output_tok_s,target_output_tok_s_per_user,target_total_tok_s,target_tpot_ms,target_ttft_ms,vs_measured
200_300,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,26.4,26.4,44.2,37.5,118.0,+60% (x1.6 target)
200_300,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,414.9,20.74,691.4,46.3,615.0,+60% (x1.6 target)
200_300,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,858.6,17.17,1431.0,55.8,758.0,+60% (x1.6 target)
200_300,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,1198.2,11.98,1997.0,79.5,1193.0,+60% (x1.6 target)
512_512,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,26.1,26.08,52.0,37.5,505.0,+60% (x1.6 target)
512_512,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,394.7,19.74,789.3,49.1,827.0,+60% (x1.6 target)
512_512,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,747.8,14.96,1495.8,64.0,1431.0,+60% (x1.6 target)
512_512,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,1027.5,10.28,2054.9,92.7,2234.0,+60% (x1.6 target)
1024_1024,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,26.6,26.56,53.1,37.6,146.0,+60% (x1.6 target)
1024_1024,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,370.1,18.5,740.2,53.0,1041.0,+60% (x1.6 target)
1024_1024,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,677.3,13.55,1354.6,71.8,1910.0,+60% (x1.6 target)
1024_1024,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,881.9,8.82,1763.8,111.2,2022.0,+60% (x1.6 target)
4096_1024,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,25.6,25.6,128.3,38.5,487.0,+60% (x1.6 target)
4096_1024,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,261.3,13.06,1306.1,71.6,4789.0,+60% (x1.6 target)
4096_1024,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,389.6,7.79,1947.7,117.4,9976.0,+60% (x1.6 target)
4096_1024,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,481.8,4.82,2408.8,198.0,7721.0,+60% (x1.6 target)
8192_2048,1,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,24.8,24.8,124.3,39.9,773.0,+60% (x1.6 target)
8192_2048,20,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,203.0,10.15,1015.2,94.6,7634.0,+60% (x1.6 target)
8192_2048,50,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,266.6,5.33,1332.6,178.5,16567.0,+60% (x1.6 target)
8192_2048,100,c1_tp2_numa,-tp 2 --distributed-executor-backend mp,278.1,2.78,1390.7,303.4,12582.0,+60% (x1.6 target)
