model,input_output,concurrency,tp1_out_toks,tp2_out_toks,tp2_speedup,tp1_tpot_ms,tp2_tpot_ms,tp1_ttft_ms,tp2_ttft_ms
Qwen3-8B,200_300,1,9.6,16.5,1.72,102.0,60.0,763.0,189.0
Qwen3-8B,200_300,20,158.3,259.3,1.64,122.2,74.1,1305.0,984.0
Qwen3-8B,200_300,50,318.3,536.6,1.69,150.6,89.2,1929.0,1212.0
Qwen3-8B,200_300,100,472.1,748.9,1.59,201.1,127.2,3040.0,1909.0
Qwen3-8B,512_512,1,9.7,16.3,1.67,102.3,60.0,320.0,808.0
Qwen3-8B,512_512,20,149.8,246.7,1.65,130.1,78.6,1723.0,1323.0
Qwen3-8B,512_512,50,285.0,467.4,1.64,169.2,102.4,2986.0,2290.0
Qwen3-8B,512_512,100,401.9,642.2,1.6,237.5,148.3,5155.0,3575.0
Qwen3-8B,1024_1024,1,9.7,16.6,1.71,102.9,60.1,419.0,234.0
Qwen3-8B,1024_1024,20,139.0,231.3,1.66,141.4,84.8,2315.0,1665.0
Qwen3-8B,1024_1024,50,245.8,423.3,1.72,199.2,114.9,3601.0,3056.0
Qwen3-8B,1024_1024,100,328.6,551.2,1.68,297.1,177.9,5748.0,3235.0
Qwen3-8B,4096_1024,1,9.4,16.0,1.71,105.4,61.6,1547.0,779.0
Qwen3-8B,4096_1024,20,94.0,163.3,1.74,199.8,114.5,11549.0,7662.0
Qwen3-8B,4096_1024,50,139.3,243.5,1.75,338.7,187.9,15646.0,15961.0
Qwen3-8B,4096_1024,100,165.5,301.1,1.82,567.3,316.8,25620.0,12354.0
Qwen3-8B,8192_2048,1,9.0,15.5,1.72,109.5,63.8,2473.0,1237.0
Qwen3-8B,8192_2048,20,70.5,126.9,1.8,272.1,151.3,21236.0,12214.0
Qwen3-8B,8192_2048,50,93.5,166.6,1.78,518.2,285.6,25250.0,26507.0
Qwen3-8B,8192_2048,100,88.8,173.8,1.96,829.1,485.4,161606.0,20131.0
Qwen3-4B,512_512,1,16.0,23.0,1.44,61.2,42.2,774.0,721.0
Qwen3-4B,512_512,50,401.5,626.9,1.56,119.8,77.0,2247.0,1394.0
Qwen3-4B,1024_1024,1,16.2,23.1,1.42,61.4,43.1,257.0,168.0
Qwen3-4B,1024_1024,50,335.1,524.2,1.56,145.3,93.3,3428.0,1921.0
Qwen3-4B,8192_2048,1,14.5,21.3,1.47,67.8,46.4,2649.0,1314.0
Qwen3-4B,8192_2048,50,98.1,155.6,1.59,469.9,304.6,63874.0,28554.0
