config,input_output,concurrency,num_prompts,completed,output_tok_s,total_tok_s,mean_ttft_ms,mean_tpot_ms,p99_tpot_ms,duration_s
c0_baseline,1024_1024,1,3,3,16.23,32.46,256.7,61.43,61.58,189.3
c0_baseline,1024_1024,50,50,50,335.1,670.2,3428.2,145.28,147.39,152.8
c0_baseline,512_512,1,3,3,15.97,31.94,774.4,61.22,61.4,96.2
c0_baseline,512_512,50,100,100,401.5,803.0,2247.4,119.77,123.41,127.5
c0_baseline,8192_2048,1,2,2,14.49,72.44,2648.9,67.76,67.89,282.7
c0_baseline,8192_2048,50,50,50,98.05,490.26,63874.2,469.94,486.86,1044.3
c1_tp2_numa,1024_1024,1,3,3,23.11,46.22,168.0,43.15,43.39,132.9
c1_tp2_numa,1024_1024,50,50,50,524.2,1048.4,1920.9,93.35,94.52,97.7
c1_tp2_numa,512_512,1,3,3,22.96,45.92,721.5,42.22,42.37,66.9
c1_tp2_numa,512_512,50,100,100,626.92,1253.85,1393.9,76.95,78.72,81.7
c1_tp2_numa,8192_2048,1,2,2,21.26,106.32,1313.6,46.41,46.46,192.6
c1_tp2_numa,8192_2048,50,50,50,155.64,778.2,28553.6,304.61,313.55,657.9
